Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Gestão Industrial e Logística,6800-L030,161.5,161.5,0.0
Ciência de Dados,6800-L188,161.2,160.5,-0.7
Ciência de Dados (regime pós-laboral),6800-L189,148.6,148.5,-0.1
Tecnologias Digitais e Automação,6810-L273,133.6,133.5,-0.1
"Política, Economia e Sociedade",6810-L274,147.2,147.5,0.3
Tecnologias Digitais e Inteligência Artificial,6810-L277,146.4,146.5,0.1
Desenvolvimento de Software e Aplicações,6810-L278,140.4,140.5,0.1
Tecnologias Digitais e Gestão,6810-L280,154.8,154.5,-0.3
Tecnologias Digitais Educativas,6810-L281,132.2,132.2,0.0
Tecnologias Digitais e Saúde,6810-L282,126.0,126.0,0.0
"Tecnologias Digitais, Edifícios e Construção Sustentável",6810-L311,129.2,129.0,-0.2
Matemática Aplicada e Tecnologias Digitais,6810-L321,117.4,117.2,-0.2
Tecnologias Digitais e Segurança de Informação,6810-L329,135.2,135.2,0.0
Terapia Ocupacional,7005-8138,113.7,113.5,-0.2
Enfermagem,7005-9500,130.8,130.8,0.0
Enfermagem,7010-9500,155.5,155.2,-0.3
Dietética e Nutrição,7015-8149,108.2,108.2,0.0
Enfermagem,7015-9500,139.3,139.2,-0.1
Enfermagem (entrada no 2.º semestre),7015-9501,114.6,114.5,-0.1
Farmácia,7015-9549,109.3,109.0,-0.3
Gerontologia,7015-9833,131.3,131.2,-0.1
Ciências Biomédicas Laboratoriais,7015-L068,111.0,110.8,-0.2
Enfermagem,7020-9500,129.0,129.0,0.0
Fisioterapia,7020-9504,150.1,150.0,-0.1
Imagem Médica e Radioterapia,7020-L066,135.1,135.0,-0.1
Fisiologia Clínica,7020-L067,131.4,131.5,0.1
Ciências Biomédicas Laboratoriais,7020-L068,120.1,120.0,-0.1
Enfermagem,7030-9500,133.7,133.8,0.1
Dietética e Nutrição,7035-8149,129.2,129.2,0.0
Enfermagem,7035-9500,144.4,144.2,-0.2
Fisioterapia,7035-9504,151.9,151.8,-0.1
Farmácia,7035-9549,126.9,126.8,-0.1
Imagem Médica e Radioterapia,7035-L066,139.2,95.0,-44.2
Ciências Biomédicas Laboratoriais,7035-L068,147.6,147.5,-0.1
Enfermagem,7040-9500,114.8,114.8,0.0
Farmácia,7040-9549,95.0,96.2,1.2
Biotecnologia Medicinal,7040-L101,112.0,112.0,0.0
Terapia Ocupacional,7045-8138,133.7,133.5,-0.2
Dietética e Nutrição,7045-8149,124.6,124.8,0.2
Enfermagem,7045-9500,132.2,132.2,0.0
Fisioterapia,7045-9504,154.0,153.8,-0.2
Terapia da Fala,7045-9890,133.2,133.2,0.0
Enfermagem,7055-9500,112.0,111.8,-0.2
Fisioterapia,7055-9504,140.4,95.0,-45.4
Higiene Oral,7055-9556,127.4,127.2,-0.2
Enfermagem,7065-9500,133.4,133.2,-0.2
Enfermagem,7075-9500,141.0,141.0,0.0
Enfermagem,7080-9500,140.4,95.0,-45.4
Enfermagem,7085-9500,128.6,128.5,-0.1
Enfermagem,7092-9500,116.2,116.0,-0.2
Enfermagem,7093-9500,131.0,131.0,0.0
Engenharia Informática e de Computadores,7105-9121,132.2,132.2,0.0
Engenharia de Máquinas Marítimas,7105-9745,125.4,125.5,0.1
Pilotagem,7105-9789,156.8,156.8,0.0
Gestão de Transportes e Logística,7105-9924,138.1,138.0,-0.1
Gestão Portuária,7105-9926,140.9,141.0,0.1
Engenharia Eletrotécnica Marítima,7105-L118,131.7,131.8,0.1
Direção e Gestão Hoteleira,7110-9076,150.6,151.0,0.4
Gestão do Lazer e Animação Turística,7110-9163,146.4,146.5,0.1
Gestão Turística,7110-9177,141.2,141.2,0.0
Informação Turística,7110-9183,111.4,111.8,0.4
Produção Alimentar em Restauração,7110-9217,127.6,127.5,-0.1
Audiologia,7210-8141,125.6,125.5,-0.1
Dietética e Nutrição,7210-8149,133.9,134.0,0.1
Fisioterapia,7210-9504,162.9,162.8,-0.1
Farmácia,7210-9549,137.9,95.0,-42.9
Saúde Ambiental,7210-9861,102.0,103.5,1.5
Imagem Médica e Radioterapia,7210-L066,149.3,149.2,-0.1
Fisiologia Clínica,7210-L067,147.4,147.2,-0.2
Ciências Biomédicas Laboratoriais,7210-L068,150.3,150.2,-0.1
Terapia Ocupacional,7230-8138,140.5,140.5,0.0
Audiologia,7230-8141,133.5,133.5,0.0
Ortóptica,7230-8143,138.0,138.0,0.0
Fisioterapia,7230-9504,165.5,164.8,-0.7
Farmácia,7230-9549,142.0,142.0,0.0
Saúde Ambiental,7230-9861,127.0,127.0,0.0
Terapia da Fala,7230-9890,139.0,139.0,0.0
Imagem Médica e Radioterapia,7230-L066,144.0,144.0,0.0
Fisiologia Clínica,7230-L067,145.5,145.2,-0.3
Ciências Biomédicas Laboratoriais,7230-L068,166.0,166.0,0.0
Biotecnologia Medicinal,7230-L101,170.0,170.5,0.5
Osteopatia,7230-L136,143.8,143.5,-0.3
Saúde Digital,7230-L304,121.3,121.2,-0.1
