Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Matemática Aplicada à Economia e à Gestão,0602-9210,123.4,123.5,0.1
Enologia,0602-9752,116.9,117.0,0.1
Ciência e Tecnologia Animal,0602-9818,121.5,121.5,0.0
Medicina Veterinária,0602-9847,164.4,164.5,0.1
Ecologia e Ambiente,0602-L090,,97.5,
Inteligência Artificial e Ciência de Dados,0602-L227,115.0,115.0,0.0
Design,0603-9069,155.9,156.0,0.1
Teatro,0603-9243,138.3,138.5,0.2
Arquitetura,0603-9257,158.3,158.5,0.2
Artes Plásticas e Multimédia,0603-9347,146.5,146.5,0.0
História e Arqueologia,0604-8251,140.5,140.5,0.0
Ciências da Educação,0604-9026,132.1,132.0,-0.1
Economia,0604-9081,134.5,134.5,0.0
Gestão,0604-9147,151.6,151.5,-0.1
Psicologia,0604-9219,163.1,164.2,1.1
Relações Internacionais,0604-9229,152.8,153.0,0.2
Sociologia,0604-9240,134.6,134.5,-0.1
Turismo,0604-9254,126.4,126.5,0.1
Património Cultural,0604-9787,122.6,123.0,0.4
Educação Básica,0604-9853,140.4,140.5,0.1
Línguas e Literaturas,0604-L047,135.7,136.0,0.3
Ciências do Desporto,0605-9707,134.3,134.5,0.2
Reabilitação Psicomotora,0605-9841,124.5,124.5,0.0
Ciências da Nutrição,0901-9554,153.3,156.5,3.2
Medicina,0901-9813,179.3,178.2,-1.1
Arqueologia,0902-9006,137.5,141.5,4.0
Ciência Política e Relações Internacionais,0902-9020,177.0,195.0,18.0
Ciências da Comunicação,0902-9023,176.5,190.5,14.0
Ciências da Linguagem,0902-9040,149.0,153.0,4.0
Ciências Musicais,0902-9046,131.0,134.5,3.5
Filosofia,0902-9139,159.5,163.8,4.3
Geografia e Planeamento Regional,0902-9145,134.5,138.0,3.5
História,0902-9181,164.5,169.5,5.0
História da Arte,0902-9182,148.0,151.5,3.5
"Línguas, Literaturas e Culturas",0902-9204,159.5,95.0,-64.5
Sociologia,0902-9240,147.5,151.0,3.5
Tradução,0902-9252,156.0,95.0,-61.0
Antropologia,0902-9448,135.0,95.0,-40.0
Estudos Portugueses,0902-9917,130.0,134.0,4.0
Conservação - Restauro,0903-8036,160.8,164.2,3.4
Bioquímica,0903-9015,159.8,161.5,1.7
Engenharia Civil,0903-9089,140.0,142.8,2.8
Engenharia de Materiais,0903-9096,138.8,142.0,3.2
Engenharia do Ambiente,0903-9099,113.4,115.0,1.6
Engenharia e Gestão Industrial,0903-9104,162.8,165.5,2.7
Engenharia Física,0903-9113,170.0,173.0,3.0
Engenharia Informática,0903-9119,164.8,166.0,1.2
Engenharia Mecânica,0903-9123,168.0,170.8,2.8
Engenharia Química e Biológica,0903-9126,138.8,140.2,1.4
Química Aplicada,0903-9224,143.4,147.0,3.6
Biologia Celular e Molecular,0903-9348,169.2,171.8,2.6
Engenharia Biomédica,0903-9455,170.4,173.5,3.1
Engenharia Eletrotécnica e de Computadores,0903-L209,127.8,127.0,-0.8
Engenharia de Micro e Nanotecnologias,0903-L231,109.8,111.2,1.4
Tecnologia Agro-Industrial,0903-L286,129.5,132.0,2.5
Sistemas e Tecnologias de Informação,0906-8259,168.8,172.0,3.2
Gestão de Informação,0906-9155,173.6,176.5,2.9
Ciência de Dados,0906-L188,177.8,181.5,3.7
Direito,0911-9078,174.8,190.5,15.7
Geografia e Planeamento,1000-8183,139.8,140.0,0.2
Optometria e Ciências da Visão,1000-8184,126.4,126.2,-0.2
Direito (regime pós-laboral),1000-8358,175.2,193.5,18.3
Educação (regime pós-laboral),1000-8427,138.8,139.0,0.2
Design de Produto,1000-8494,159.3,159.5,0.2
Administração Pública,1000-9002,160.4,161.2,0.8
Arqueologia,1000-9006,145.0,145.2,0.2
Biologia e Geologia,1000-9012,129.2,129.2,0.0
Bioquímica,1000-9015,160.0,160.0,0.0
Ciência Política,1000-9019,163.0,163.5,0.5
Ciências da Comunicação,1000-9023,168.8,172.5,3.7
Contabilidade,1000-9056,167.6,168.5,0.9
Direito,1000-9078,177.6,196.0,18.4
Economia,1000-9081,172.2,172.2,0.0
Engenharia Civil,1000-9089,151.6,151.5,-0.1
Engenharia de Materiais,1000-9096,142.2,142.2,0.0
Engenharia de Telecomunicações e Informática,1000-9098,123.0,123.0,0.0
Engenharia e Gestão Industrial,1000-9104,175.6,175.8,0.2
Engenharia Física,1000-9113,157.2,157.0,-0.2
Engenharia Informática,1000-9119,170.6,170.5,-0.1
Engenharia Mecânica,1000-9123,169.6,168.8,-0.8
Engenharia Química e Biológica,1000-9126,148.0,148.0,0.0
Engenharia Têxtil,1000-9127,123.8,124.0,0.2
Estudos Culturais,1000-9134,143.8,144.0,0.2
Filosofia,1000-9139,148.2,148.5,0.3
Física,1000-9141,111.2,111.0,-0.2
Geologia,1000-9146,115.2,115.2,0.0
Gestão,1000-9147,176.8,177.0,0.2
História,1000-9181,162.2,162.5,0.3
Línguas Aplicadas,1000-9192,165.8,175.0,9.2
Línguas e Literaturas Europeias,1000-9195,161.0,161.5,0.5
Marketing,1000-9205,173.0,180.2,7.2
Matemática,1000-9209,167.6,167.8,0.2
Psicologia,1000-9219,167.0,168.2,1.2
Química,1000-9223,133.0,133.0,0.0
Relações Internacionais,1000-9229,168.0,171.5,3.5
Sociologia,1000-9240,147.8,148.0,0.2
Teatro,1000-9243,146.0,146.5,0.5
Arquitetura,1000-9257,179.0,193.0,14.0
Educação,1000-9353,149.2,149.5,0.3
Ciências do Ambiente,1000-9379,129.8,129.8,0.0
Estatística Aplicada,1000-9381,122.0,122.0,0.0
Ciências da Computação,1000-9397,147.0,147.0,0.0
Engenharia Biomédica,1000-9455,171.8,172.0,0.2
Design e Marketing de Moda,1000-9499,174.4,175.0,0.6
Biologia Aplicada,1000-9688,149.6,149.5,-0.1
Negócios Internacionais,1000-9785,164.8,165.0,0.2
Medicina,1000-9813,183.8,189.7,5.9
Artes Visuais,1000-9817,169.0,169.5,0.5
Educação Básica,1000-9853,155.8,155.5,-0.3
