Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Educação Básica,0604-9853,128.8,126.0,-2.8
1,Línguas e Literaturas,0604-L047,143.6,146.5,2.9
1,Estudos de Filosofia e de Cultura Contemporânea,0604-L173,120.5,120.0,-0.5
1,Ciências do Desporto,0605-9707,137.0,133.0,-4.0
1,Reabilitação Psicomotora,0605-9841,138.0,132.5,-5.5
1,Ciências Biomédicas e da Saúde,0605-L256,153.4,158.0,4.6
1,Ciências da Nutrição,0901-9554,166.8,163.0,-3.8
1,Medicina,0901-9813,183.3,176.5,-6.8
1,Sociologia (regime pós-laboral),0902-8109,136.5,136.5,0.0
1,Arqueologia,0902-9006,145.0,146.5,1.5
1,Ciência Política e Relações Internacionais,0902-9020,176.0,195.8,19.8
1,Ciências da Comunicação,0902-9023,176.0,195.5,19.5
1,Ciências da Linguagem,0902-9040,149.0,150.0,1.0
1,Ciências Musicais,0902-9046,139.0,138.0,-1.0
1,Filosofia,0902-9139,164.0,189.5,25.5
1,Geografia e Planeamento Regional,0902-9145,133.0,132.0,-1.0
1,História,0902-9181,169.5,191.0,21.5
1,História da Arte,0902-9182,144.5,145.5,1.0
1,"Línguas, Literaturas e Culturas",0902-9204,159.0,95.0,-64.0
1,Sociologia,0902-9240,150.5,149.5,-1.0
1,Tradução,0902-9252,166.5,95.0,-71.5
1,Antropologia,0902-9448,137.5,95.0,-42.5
1,Estudos Portugueses,0902-9917,139.5,139.0,-0.5
1,Conservação - Restauro,0903-8036,151.4,151.0,-0.4
1,Bioquímica,0903-9015,169.6,167.5,-2.1
1,Engenharia Civil,0903-9089,132.8,126.5,-6.3
1,Engenharia de Materiais,0903-9096,143.0,141.0,-2.0
1,Engenharia do Ambiente,0903-9099,144.8,141.5,-3.3
1,Engenharia e Gestão Industrial,0903-9104,165.2,164.0,-1.2
1,Engenharia Física,0903-9113,174.6,200.0,25.4
1,Engenharia Geológica,0903-9116,130.4,131.5,1.1
1,Engenharia Informática,0903-9119,164.8,160.0,-4.8
1,Engenharia Mecânica,0903-9123,165.2,161.5,-3.7
1,Engenharia Química e Biológica,0903-9126,149.8,143.0,-6.8
1,Matemática,0903-9209,159.0,154.5,-4.5
1,Química Aplicada,0903-9224,150.4,148.5,-1.9
1,Biologia Celular e Molecular,0903-9348,176.0,181.0,5.0
1,Engenharia Biomédica,0903-9455,175.8,200.0,24.2
1,Matemática Aplicada à Gestão do Risco,0903-L167,165.4,161.0,-4.4
1,Engenharia Eletrotécnica e de Computadores,0903-L209,127.0,125.0,-2.0
1,Engenharia de Micro e Nanotecnologias,0903-L231,137.0,125.5,-11.5
1,Economia,0904-9081,176.5,173.0,-3.5
1,Gestão,0904-9147,179.0,171.5,-7.5
1,Sistemas e Tecnologias de Informação,0906-8259,167.8,165.5,-2.3
1,Gestão de Informação,0906-9155,174.0,170.5,-3.5
1,Ciência de Dados,0906-L188,168.8,170.5,1.7
1,Direito,0911-9078,176.0,195.5,19.5
1,Geografia e Planeamento,1000-8183,133.0,131.5,-1.5
1,Optometria e Ciências da Visão,1000-8184,122.2,122.0,-0.2
1,Direito (regime pós-laboral),1000-8358,166.8,168.0,1.2
1,Educação (regime pós-laboral),1000-8427,133.4,133.0,-0.4
1,Design de Produto,1000-8494,141.5,143.0,1.5
1,Administração Pública,1000-9002,159.8,174.5,14.7
1,Arqueologia,1000-9006,142.6,142.0,-0.6
1,Biologia e Geologia,1000-9012,146.4,143.0,-3.4
1,Bioquímica,1000-9015,148.4,145.0,-3.4
1,Ciência Política,1000-9019,161.0,169.5,8.5
1,Ciências da Comunicação,1000-9023,166.6,163.5,-3.1
1,Contabilidade,1000-9056,168.0,193.5,25.5
1,Direito,1000-9078,174.2,189.5,15.3
1,Economia,1000-9081,168.6,160.5,-8.1
1,Engenharia Civil,1000-9089,135.0,131.5,-3.5
1,Engenharia de Materiais,1000-9096,134.0,131.0,-3.0
1,Engenharia de Telecomunicações e Informática,1000-9098,118.2,112.5,-5.7
1,Engenharia e Gestão Industrial,1000-9104,174.2,184.5,10.3
1,Engenharia Física,1000-9113,154.8,150.0,-4.8
1,Engenharia Informática,1000-9119,167.0,162.0,-5.0
1,Engenharia Mecânica,1000-9123,161.2,157.0,-4.2
1,Engenharia Química e Biológica,1000-9126,144.6,139.5,-5.1
1,Engenharia Têxtil,1000-9127,117.8,108.5,-9.3
1,Estudos Culturais,1000-9134,153.2,155.5,2.3
1,Filosofia,1000-9139,142.2,142.8,0.6
1,Física,1000-9141,116.0,114.0,-2.0
1,Geologia,1000-9146,131.4,130.0,-1.4
1,Gestão,1000-9147,173.8,162.0,-11.8
1,História,1000-9181,156.6,157.5,0.9
1,Línguas Aplicadas,1000-9192,166.8,172.5,5.7
1,Línguas e Literaturas Europeias,1000-9195,161.2,186.5,25.3
1,Marketing,1000-9205,169.4,191.0,21.6
1,Matemática,1000-9209,158.4,158.5,0.1
1,Psicologia,1000-9219,171.6,200.0,28.4
1,Química,1000-9223,128.2,123.5,-4.7
1,Relações Internacionais,1000-9229,166.4,166.5,0.1
1,Sociologia,1000-9240,145.4,144.0,-1.4
1,Teatro,1000-9243,147.4,148.0,0.6
1,Arquitetura,1000-9257,177.5,200.0,22.5
1,Educação,1000-9353,145.2,146.0,0.8
1,Ciências do Ambiente,1000-9379,135.8,134.0,-1.8
1,Estatística Aplicada,1000-9381,134.6,127.5,-7.1
